Stock,PE,Marketcap,Beta,Sector
AEF,-4.38,420344320,0.6854913873811528,Miscellaneous
AEG,10.98,,0.9251274752126275,Finance
AEGN,623.38,451339200,1.009544879992985,Industrial Services
AEH,,52248809668,0.05678486252606178,Finance
AEHR,-7.59,39483500,0.7575740750927182,Electronic Technology
AEIS,16.85,1918300120,1.4839625791127926,Electronic Technology
AEL,8.92,2572812800,1.2292840513208085,Finance
AEM,-30.4,10234365330,-0.2354426128502962,Non-Energy Minerals
AEMD,-1.11,6795622,0.3280974957792721,Health Technology
AEO,11.69,2990538000,1.0147475531719918,Retail Trade
AEP,20.8,42494708320,0.046677584848788325,Utilities
AER,6.51,6256782360,1.226338193120802,Finance
AERI,-6.56,1672333560,1.2464327653049099,Health Technology
AES,15.61,10486886600,0.5974696441359796,Utilities
AETI,-1.24,6480729,0.9542946044881625,Electronic Technology
AEY,-1.71,14816230,0.17583925572570144,Distribution Services
AEYE,-7.36,46998300,1.0640415747428191,Technology Services
AEZS,-3.25,49323000,1.235863457846119,Health Technology
AFB,-25.54,379434000,-0.03215778905486885,Miscellaneous
AFC,,,0.010289504144306214,Finance
AFG,12.27,8807263400,0.6695244143679261,Finance
AFGB,,2386571070,-0.16567242806163723,Finance
AFGE,,2353386880,0.10316023655839375,Finance
AFGH,,2370427410,0.0612673463276792,Finance
AFH,-0.23,8648526,0.701755008971106,Finance
AFHBL,,119620000,0.07919286933967311,Finance
AFI,-18.31,275241560,0.8711701098754541,Producer Manufacturing
AFIF,,,0.004334113167857866,Miscellaneous
AFIN,-29.62,1110967060,0.19292020069102206,Finance
AFINP,,2671206650,0.08043147301104613,Finance
AFK,,,0.6785233101412808,Miscellaneous
AFL,12.51,38242559700,0.6629081200808107,Finance
AFMD,-7.58,189787200,1.4419608798158288,Health Technology
AFT,-55.39,229546919,0.2255868813293576,Miscellaneous
AFTY,,,0.9449248102648997,Miscellaneous
AG,-5.94,1219331840,-0.10903517204847747,Non-Energy Minerals
AGBAU,,,,Finance
AGCO,15.93,5110809600,0.9955775714333357,Producer Manufacturing
AGD,57.44,111444000,0.7040672870186545,Miscellaneous
AGE,-9.84,105740300,1.0806745224534935,Health Technology
AGEN,-3.24,342360450,1.2534210523700482,Health Technology
AGFS,-4.04,124001730,0.9136427897876572,Process Industries
AGFSW,,,0.2765403785161646,Process Industries
AGG,,,-0.043490270212086804,Miscellaneous
AGGE,,,-0.055792211894953044,Miscellaneous
AGGP,,,-0.016641212023030295,Miscellaneous
AGGY,,,-0.021555944119570646,Miscellaneous
AGI,-34.42,1894201110,-0.31970478967316424,Non-Energy Minerals
AGIO,-7.71,2710686870,1.7915320812424709,Health Technology
AGLE,-2.82,180011520,1.0590158519785562,Health Technology
AGM,7.75,732084737,0.9277667680788415,Finance
AGM-A,,276016166,0.1187258859583612,Finance
AGMH,-40.95,473802760,0.17897542115402165,Finance
AGN,-5.65,39962341820,0.9247342748231491,Health Technology
AGNC,1389.83,8795320000,0.21358927695978974,Finance
AGNCB,,13831177000,0.039890317615805734,Finance
AGNCM,,13563027000,0.057360114519577496,Finance
AGNCN,,13820451000,0.057803552206497105,Finance
AGND,,,0.08723373624307362,Miscellaneous
AGO,11.64,4150879810,0.770496197931592,Finance
AGQ,,,0.3100641286965791,Miscellaneous
AGR,27.21,15468790300,0.14127088067878346,Utilities
AGRO,-22.35,775862150,0.6474590768504972,Process Industries
AGRX,-2.47,54678750,1.6030733701785083,Health Technology
AGS,-59.48,677766540,1.1731167826676994,Producer Manufacturing
AGT,,,1.1441225221932154,Miscellaneous
AGTC,35.33,66324150,0.8958199368392007,Health Technology
AGX,13.75,718023690,0.6517371810430515,Industrial Services
AGYS,-38.16,512191000,0.6541840177208735,Technology Services
AGZ,,,-0.05279137481199082,Miscellaneous
AGZD,,,0.03425354232296242,Miscellaneous
AHC,-18.12,82827144,0.09312162436825747,Consumer Services
AHH,50.64,1153427550,0.49280646819494994,Finance
AHPI,-4.15,7385760,-0.005941810325003084,Health Technology
AHT,-2.41,455553320,1.024042474313625,Finance
AI,-10,244670694,0.6260387595604424,Finance
AIA,,,0.9428418620484953,Miscellaneous
AIC,,892371440,0.010077541413722434,Finance
AIEQ,,,1.2133776450701752,Miscellaneous
AIF,-281.64,208570880,0.33407889397792695,Miscellaneous
AIG,-159.59,44418336780,0.858384676326988,Finance
AIHS,-12.48,141558130,0.5599044684366539,Finance
AIIQ,,,-0.10191249868926744,Miscellaneous
AIMC,20.17,2017091000,1.5220193771659078,Producer Manufacturing
AIMT,-5.4,1222968440,1.295873545125799,Health Technology
AIN,21.46,2036234200,1.1306859461008338,Process Industries
AINC,11.12,109964400,0.41494476190044477,Finance
AINV,15.29,1068960960,0.6700646634645814,Finance
AIPT,-0.62,16052299,0.7365656310631579,Health Technology
AIQ,,,-0.07018677484997546,Miscellaneous
AIR,-287.67,1055166030,1.149948496768601,Electronic Technology
AIRG,-101.34,128994840,0.873436578814315,Electronic Technology
AIRI,-2.87,29859440,0.10604766347048022,Electronic Technology
AIRR,,,1.035281215153079,Miscellaneous
AIRT,175.48,55052800,0.38003347107057656,Transportation
AIT,14.58,2096757690,1.1454703511521913,Distribution Services
AITB,-4.91,45984350,-0.25288202660547576,Technology Services
AIV,26.26,7433958600,0.4393973676100896,Finance
AIW,,901880316,0.0132978082873738,Finance
AIY,,,0.043152439783212704,Finance
AIZ,21.09,6145041000,0.6816465976262052,Finance
AIZP,,6544628500,0.2745909187963896,Finance
AJG,22.28,15598218400,0.6688928626723936,Finance
AJRD,18.35,3034471320,1.0468022850409748,Electronic Technology
AJX,8.58,240855500,0.43440381328669886,Finance
AJXA,,480762750,0.1102790322369046,Finance
AKAM,35.21,12366349920,1.2254375848902108,Technology Services
